country,gdp_usd
US,30769700000000
China,19498039388042.61
UK,4002587541846.0146
Canada,2319899772425.92
Finland,317039368819.6074
France,3366315927447.3286
Switzerland,1043529899250.9229
Israel,610777842873.5946
Germany,5050922925047.052
Netherlands,1332767651100.3904
Australia,1798518933689.2104
Spain,1906453309985.8796
UAE,552324919095.8721
South Korea,1872374961553.146
Singapore,603869516998.738
Denmark,462526660468.3925
Japan,4435162999976.941
Italy,2551556954100.349
Ireland,721701359046.3127
India,3956067115771.6313
Poland,1035491784197.4406
Austria,579470021095.4176
Sweden,668998664082.0807
Belgium,725466462859.646
Czech Republic,391026962800.4753
Turkey,1597293229287.0005
Chile,357371159574.86163
Portugal,346639825141.82104
Taiwan,920050000000
Thailand,577009981112.015
Bulgaria,130777235529.60565
Russia,2561310169358.743
Romania,428677977854.82605
Uruguay,85347696277.68594
Brazil,2279920092492.1333
Greece,280635521324.4408
Norway,530755719438.87946
Malaysia,472193128644.5973
